Date,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar,Weight,Body Fat %
2021-7-29,2515.0,209.0,105.0,148.0,2290.0,82.0,168.1,17.9
2021-7-30,2469.0,243.0,88.0,171.0,2696.0,91.0,167.6,17.4
2021-7-31,2961.0,363.0,99.0,164.0,3147.0,155.0,168.2,17.4
2021-8-1,3437.0,386.0,103.0,203.0,5307.0,189.0,168.2,17.8
2021-8-2,2027.0,206.0,72.0,135.0,3958.0,67.0,169.1,18.4
2021-8-3,1117.0,134.0,30.0,90.0,1274.0,71.0,,
2021-8-4,205.0,20.0,7.0,18.0,0.0,0.0,,
2021-8-5,559.0,83.0,8.0,39.0,606.0,22.0,,
2021-8-6,205.0,20.0,7.0,18.0,0.0,0.0,,
2021-8-7,205.0,20.0,7.0,18.0,0.0,0.0,,
2021-8-8,205.0,20.0,7.0,18.0,0.0,0.0,,
2021-8-9,1842.0,160.0,86.0,138.0,2614.0,36.0,172.7,18.9
2021-8-10,2420.0,252.0,102.0,160.0,2915.0,94.0,170.2,18.5
2021-8-11,2330.0,271.0,77.0,173.0,3537.0,121.0,169.8,18.4
2021-8-12,2459.0,182.0,113.0,198.0,2128.0,74.0,169.7,18.7
2021-8-13,2485.0,278.0,87.0,172.0,4815.0,110.0,169.5,18.3
2021-8-14,2708.0,294.0,113.0,154.0,3427.0,135.0,,18.1
2021-8-15,2420.0,236.0,111.0,141.0,2562.0,67.0,169.5,18.5
2021-8-16,2435.0,279.0,80.0,165.0,3126.0,74.0,169.8,18.4
2021-8-17,2218.0,158.0,87.0,142.0,2896.0,102.0,169.3,18.2
2021-8-18,2374.0,261.0,84.0,154.0,3142.0,106.0,168.3,18.2
2021-8-19,2400.0,266.0,89.0,150.0,2951.0,101.0,168.3,18.0
2021-8-20,2302.0,248.0,76.0,170.0,3543.0,70.0,167.7,18.0
2021-8-21,2406.0,207.0,78.0,175.0,4064.0,68.0,169.3,18.1
2021-8-22,2705.0,334.0,93.0,133.0,4556.0,180.0,169.0,18.3
2021-8-23,2229.0,257.0,76.0,148.0,2167.0,112.0,169.3,18.2
2021-8-24,2474.0,274.0,82.0,171.0,2294.0,132.0,168.2,18.5
2021-8-25,2390.0,289.0,73.0,169.0,1818.0,114.0,167.2,18.6
2021-8-26,2499.0,299.0,74.0,167.0,1487.0,132.0,167.6,18.4
2021-8-27,2335.0,281.0,58.0,185.0,2018.0,111.0,167.7,18.9
2021-8-28,3537.0,447.0,130.0,155.0,2842.0,199.0,167.5,18.3
2021-8-29,2060.0,167.0,85.0,163.0,2699.0,54.0,169.8,18.7
2021-8-30,2030.0,273.0,51.0,152.0,1955.0,71.0,169.0,18.0
2021-8-31,2510.0,258.0,93.0,186.0,2771.0,95.0,167.7,18.1
2021-9-1,2348.0,243.0,84.0,166.0,1563.0,82.0,168.7,17.8
2021-9-2,2306.0,238.0,84.0,164.0,1724.0,85.0,168.5,18.3
2021-9-3,2385.0,279.0,71.0,171.0,2089.0,111.0,168.0,18.5
2021-9-4,2320.0,248.0,95.0,145.0,3481.0,122.0,167.6,18.7
2021-9-5,2289.0,253.0,77.0,163.0,2080.0,95.0,167.5,17.5
2021-9-6,2088.0,222.0,62.0,170.0,1481.0,93.0,167.3,17.7
2021-9-7,2747.0,363.0,74.0,180.0,2197.0,172.0,166.5,17.5
2021-9-8,2274.0,279.0,58.0,177.0,1621.0,143.0,167.5,18.1
2021-9-9,2178.0,277.0,54.0,167.0,2404.0,135.0,165.6,17.6
2021-9-10,2261.0,275.0,61.0,161.0,1403.0,141.0,165.3,18.2
2021-9-11,1119.0,125.0,28.0,106.0,1689.0,31.0,165.6,17.5
